title,snippet,link,position,date
Dow Jones - 10 Year Daily Chart,Dow Jones - 10 Year Daily Chart. Interactive chart illustrating the performance of the Dow Jones Industrial Average (DJIA) market index over the last ten years.,https://www.macrotrends.net/1358/dow-jones-industrial-average-last-10-years,0,2024-06-03 18:50:03
Dow Jones Industrial Average (^DJI) - Historical Data,"Discover historical prices for ^DJI stock on Yahoo Finance. View daily, weekly or monthly format back to when Dow Jones Industrial Average stock was issued.",https://finance.yahoo.com/quote/%5EDJI/history/,1,2024-06-03 18:50:03
DJIA | Dow Jones Industrial Average Historical Prices,Dow Jones Industrial Average | historical charts for DJIA to see performance over time with comparisons to other stock exchanges.,https://www.wsj.com/market-data/quotes/index/DJIA/historical-prices,2,2024-06-03 18:50:03
Dow Jones Industrial Average: historical performance from ...,"Last year, 16.0%, 16.0%. Last 5 years, 10.6%, 65.6%. Last 10 years, 14.0%, 270.2%. Last 20 years, 10.0%, 569.5%. Annual returns. So far in 2024 (YTD), the Dow ...",https://curvo.eu/backtest/en/market-index/dow-jones-industrial-average,3,2024-06-03 18:50:03
Dow Jones Industrial Average (^DJI) Stock Historical ...,"Discover historical prices for ^DJI stock on Yahoo Finance. View daily, weekly or monthly format back to when Dow Jones Industrial Average stock was issued.",https://finance.yahoo.com/quote/%5EDJI/history?period1=1231995600&period2=1609477200&interval=1d&filter=history&frequency=1d,4,2024-06-03 18:50:03
Dow Jones Historical Returns by Year Since 1886,Annual returns for the Dow Jones Index starting with the year 1886. Returns calculated using the closing price of the last trading day of the year to the last ...,https://www.slickcharts.com/dowjones/returns,5,2024-06-03 18:50:03
Dow Jones Industrial Average,1 Year. 3 Year. Annualized. 5 Year. Annualized. 10 Year. Annualized. Dow Jones Industrial Average. Price Return. 1 MTH2.30%. 3 MTH-0.80%. YTD2.64%. 1 Year17.56%.,https://www.spglobal.com/spdji/en/indices/equity/dow-jones-industrial-average/,6,2024-06-03 18:50:03
Dow Jones Industrial Average Historical Rates (DJI),"Dow Jones Industrial Average Historical Data ; Highest: 40,077.40 ; Change %:. 2.07 ; Average: 39,187.72 ; Difference: 2,181.74 ; Lowest: 37,895.66.",https://www.investing.com/indices/us-30-historical-data,7,2024-06-03 18:50:03
Dow Jones Industrial Average (DJIA) | FRED | St. Louis Fed,"Graph and download economic data for Dow Jones Industrial Average (DJIA) from 2014-06-02 to 2024-05-31 about stock market, average, industry, and USA.",https://fred.stlouisfed.org/series/DJIA,8,2024-06-03 18:50:03
United States Stock Market Index - Quote - Chart,"United States Stock Market Index - data, forecasts, historical chart - was last updated on June 3 of 2024. The main stock market index in the United States ...",https://tradingeconomics.com/united-states/stock-market,9,2024-06-03 18:50:03
Dow Jones Industrial Average Overview - DJIA,"-1.07%. YTD. 2.34%. 1 Year. 14.92%. Recent News. MarketWatch. Dow Jones ... 3, 2024 at 3:10 ... Real-time last sale data for U.S. stock quotes reflect trades ...",https://www.marketwatch.com/investing/index/djia,10,2024-06-03 18:50:03
10 years Dow Jones chart of DJIA performance,"May 12, 2024 — Directly to the 10 year chart of Dow Jones Industrial Average. Graph and performance evaluation of DJIA in the past ten years.",https://www.5yearcharts.com/dow-jones-10-years-charts-of-performance/,11,2024-06-03 18:50:03
Dow Jones Industrial Average Historical Trends,"Over the last 127 years, the stock market has rewarded some investors with long-term growth. But for most investors, a realistic time horizon is 10 to 20 years— ...",https://www.guggenheiminvestments.com/advisor-resources/interactive-tools/dow-jones-historical-trends,12,2024-06-03 18:50:03
Daily Closing Values of the Dow Jones Average,"The most recent DJIA closing value in this data set is 38686.32 on May 31, 2024. The History of the Dow Index. On July 3, 1884, Charles Henry Dow began ...",https://www.measuringworth.com/datasets/DJA/index.php,13,2024-06-03 18:50:03
Key Market Indexes | Historical Chart Gallery,Dow Jones Transportation Average - 1900-Present ... 10-Year Treasury Note Yield - 1962-Present. 3 ... Commodity and historical index data provided by Pinnacle Data ...,https://stockcharts.com/freecharts/historical/marketindexes.html,14,2024-06-03 18:50:03
Dow Jones Industrials Average Price History,"Historical daily price data is available for up to two years prior to today's date. For more data, Barchart Premier members can download more historical ...",https://www.barchart.com/stocks/quotes/$DOWI/price-history/historical,15,2024-06-03 18:50:03
Dow Jones Falls As Warren Buffett Stock 'Plunges' 99%,2 hours ago — The 10-year yield fell 11 basis points to 4.40% and the two-year note slid seven basis points to 4.82%. A raft of jobs data this week could ...,https://www.investors.com/market-trend/stock-market-today/dow-jones-nasdaq-sp500-fed-official-neel-kashkari-gamestop-roaring-kitty-bet/,16,2024-06-03 18:50:03
Dow Jones Industrial Average Overview (DJIA),"A Complete Dow Jones Industrial Average overview by Barron's. View stock market news, stock market data and trading information.",https://www.barrons.com/market-data/indexes/djia,17,2024-06-03 18:50:03
Dow Jones Industrial Average,"The Dow Jones Industrial Average (DJIA), Dow Jones, or simply the Dow is a stock market index of 30 prominent companies listed on stock exchanges in the ...",https://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average,18,2024-06-03 18:50:03
Dow Jones Chart For Last 10 Years,"The Dow Jones Industrial Average (DJI) has returned 139.8% between May 23, 2014 and May 23, 2024.",https://www.statmuse.com/money/ask/dow-jones-chart-for-last-10-years,19,2024-06-03 18:50:03
"US Markets, World Markets, and Stock Quotes","Up-to-date stock market data coverage from CNN. Get the latest updates on US markets, world markets, stock quotes, crypto, commodities and currencies.",https://www.cnn.com/markets,20,2024-06-03 18:50:03
2024 Dow jones last 10 years.,4 days ago — 229.62. 1.5225. 0.67%. More. The main stock market index in Canada. Dow Jones Industrial Average Historical Data. Get free historical data for ...,https://bilsemachinery.eu/history/dow-jones-last-10-years,21,2024-06-03 18:50:03
Here's the Average Stock Market Return Over the Last 10 ...,"Jan 21, 2024 — The Dow Jones returned 131% over the past decade, compounding at 8.7% annually. Investors can get direct exposure to the index with the SPDR ...",https://www.fool.com/investing/2024/01/21/the-average-stock-market-return-over-last-10-years/,22,2024-06-03 18:50:03
Dow-Jones Industrial Stock Price Index for United States | FRED,"Graph and download economic data for Dow-Jones Industrial Stock ... End of interactive chart. Source: National Bureau ... 1949-10-01 End, 1948-11-01 Start ...",https://fred.stlouisfed.org/graph/?g=q0c6,23,2024-06-03 18:50:03
Dow Jones Industrial Average History (DJIA / Dow 30),"History of The Dow Jones Industrial Average (DJIA / Dow 30) ... From 1900 to The Present (sampled.) Most Recent, Week-Ending Close Value ... February 10, 2006 ...",https://www.fedprimerate.com/dow-jones-industrial-average-history-djia.htm,24,2024-06-03 18:50:03
Dow trails Nasdaq by most in a year. What it means for ...,3 days ago — ... Stock market rally puts S&P 500 on track for best May performance since 2009. The downturn in the Dow industrials over the past two weeks has ...,https://www.morningstar.com/news/marketwatch/20240601240/dow-trails-nasdaq-by-most-in-a-year-what-it-means-for-the-stock-market,25,2024-06-03 18:50:03
S&P 500® | S&P Dow Jones Indices,10 Year. Export. Compare. SPICE. Created with ... Latest Month-End; Risk; Correlation. Export. Compare. SPICE. As of ... Past Year. No results match your criteria.,https://www.spglobal.com/spdji/en/indices/equity/sp-500/,26,2024-06-03 18:50:03
Stock Market Crash of 1929,"by G Richardson · Cited by 22 — Purchasers put down a fraction of the price, typically 10 percent, and borrowed the rest. The stocks that they bought served as collateral for the loan ...",https://www.federalreservehistory.org/essays/stock-market-crash-of-1929,27,2024-06-03 18:50:03
Dow Historical Total Returns,Dow historical annual returns including dividends. ... The Dow Jones Industrial Average (DIJA or Dow) is ... Last 10 years mean annual return: 13.0%. Last 5 ...,https://www.upmyinterest.com/dow/,28,2024-06-03 18:50:03
"S&P 500, Dow finish higher as U.S. stocks score May gains","3 days ago — Yields on 2-, 10- and 30-year U.S. government debt had their biggest one-month drops since last December on Friday, after April's PCE data ...",https://www.marketwatch.com/livecoverage/stock-market-today-dow-futures-ease-ahead-of-inflation-data-as-dell-stock-tumbles,29,2024-06-03 18:50:03
Weekly Stock Market Update,"3 days ago — Year-to-date, the largest pullback has only been a scant 5.5%. In the last 40 years, there have only been four years (1993, 1995, 2017, 2021) ...",https://www.edwardjones.com/us-en/market-news-insights/stock-market-news/stock-market-weekly-update,30,2024-06-03 18:50:03
Dow Jones 30s Futures Historical Price Data,"Dow Jones Futures Historical Data ; 05/13/2024, 39,559.00, 39,620.00 ; 05/11/2024, 39,618.00, 39,618.00 ; 05/10/2024, 39,642.00, 39,562.00 ; 05/09/2024, 39,536.00 ...",https://www.investing.com/indices/us-30-futures-historical-data,31,2024-06-03 18:50:03
Last 10 years' average return of Dow Jones / DJIA | 5yearcharts,"May 12, 2024 — Dow Jones Industrial Average closed at 39513 on 2024-05-10, while 10 years earlier (on 2014-05-12) it opened at 16586. Nominally this is 138,23% ...",https://www.5yearcharts.com/last-10-years-return-of-dow-jones-average-djia/,32,2024-06-03 18:50:03
The 10-Year Yield Sees Its Biggest Decline in Months. ...,"Stock Market News: Dow Drops 400 Points. Meme stocks are surging. Last Updated: June 3, 2024 at 4:11 PM EDT. Live Coverage Feed. 16 min ago ...",https://www.barrons.com/livecoverage/stock-market-today-060324/card/the-10-year-yield-sees-its-biggest-decline-in-months-it-s-not-just-manufacturing-data--ZwzlwOqzwgGHQEnAaFq4,33,2024-06-03 18:50:03
"Markets News, June 3, 2024: Nasdaq Ticks Higher; Oil ...","3 hours ago — Stock Indexes Wrap: Manufacturing, Construction Data Weighs on Industrials ... last year to prop up oil prices. The group ... The Dow Jones ...",https://www.investopedia.com/dow-jones-today-06032024-8657236,34,2024-06-03 18:50:03
List of largest daily changes in the Dow Jones Industrial ...,This is a list of the largest daily changes in the Dow Jones Industrial Average from 1896. Compare to the list of largest daily changes in the S&P 500 Index ...,https://en.wikipedia.org/wiki/List_of_largest_daily_changes_in_the_Dow_Jones_Industrial_Average,35,2024-06-03 18:50:03
The S&P 500 can hit 6500 next year if these two factors ...,"10 hours ago — Signs of softening economic data in recent ... ""We forecast the 10-year Treasury yield to ... MarketWatch is published independently from Dow Jones ...",https://www.morningstar.com/news/marketwatch/2024060374/the-sp-500-can-hit-6500-next-year-if-these-two-factors-work-together-says-this-economist,36,2024-06-03 18:50:03
"Stock Market News, May 31, 2024: S&P 500, Dow Rise ...","3 days ago — The core index, which excludes volatile food and energy prices, rose 2.8% over the past year, which was a bit higher than economists expected.",https://www.wsj.com/livecoverage/stock-market-today-dow-jones-earnings-05-31-2024,37,2024-06-03 18:50:03
These 5 charts show the ups and downs of the US stock ...,"Jan 23, 2023 — examined historical equities data from S&P Dow Jones, NASDAQ, and other data sources to see how the stock market has fared over the last decade.",https://www.oliveinvest.com/blog/5-charts-show-ups-and-downs-of-us-stock-market-over-last-decade,38,2024-06-03 18:50:03
Stock Market Today: Dow Jones Rises On Inflation Data,"3 days ago — The tech-focused Nasdaq composite lost 0.3% in morning action. Early Friday, the 10-year Treasury yield slipped to 4.51%. Oil prices climbed as ...",https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-dell-stock/,39,2024-06-03 18:50:03
What Is the Average Stock Market Return?,"May 3, 2024 — The average stock market return is about 10% per year for nearly the last century, as measured by the S&P 500 index. In some years, the market ...",https://www.nerdwallet.com/article/investing/average-stock-market-return,40,2024-06-03 18:50:03
Dow Jones Industrial Average Total Return (^DJITR),Latest. Latest. Month End. Quarter End. Help. Loading... ... Historical Sharpe Ratio (10Y). Upside/Downside ... 10 Year Total NAV Returns Category Rank.,https://ycharts.com/indices/%5EDJITR,41,2024-06-03 18:50:03
Dow Jones struggles to recover after ISM PMI miss on ...,"2 hours ago — Dow Jones backslides ... The benchmark 10-year US Treasury bond yield ... in the past seven days, which coincided with increased ETH fund inflows.",https://www.fxstreet.com/news/dow-jones-industrial-average-tumbles-300-points-after-ism-pmi-miss-202406031805,42,2024-06-03 18:50:03
Stock Market Today: Dow Slips on Dreary Economic Data,"3 hours ago — ... 10 years of working as an investing writer and columnist at Schaeffer's Investment Research. In her previous role, Karee focused primarily ...",https://www.kiplinger.com/investing/stocks/stock-market-today-dow-slips-on-dreary-economic-data,43,2024-06-03 18:50:03
Dow Jones Averages & Total Return Indexes | Baker Library,"... Dow Jones Industrial (DJI), the Dow Jones Transportation (DJT), the Dow Jones Utility (DJU), the Dow 10, and the Dow 5. (Data available from 1896.) The Dow ...",https://www.library.hbs.edu/find/databases/dow-jones-averages-total-return-indexes,44,2024-06-03 18:50:03
"Stock Market Today: Dow, S&P Live Updates for March 26","Mar 25, 2024 — Stocks wiped out gains in the final 30 minutes of Wall Street trading, with investors rebalancing their portfolios after a rally that's ...",https://www.bloomberg.com/news/articles/2024-03-25/stock-market-today-dow-s-p-live-updates,45,2024-06-03 18:50:03
Historical Data,Historical data provides up to 10 years of daily historical stock prices and volumes for each stock. ... Sign up for our newsletter to get the latest on the ...,https://www.nasdaq.com/market-activity/quotes/historical,46,2024-06-03 18:50:03
Stock market today: Wall Street rallies to close out a bloom- ...,"3 days ago — But traders are betting on a nearly 85% probability that the Fed will cut at least once by the end of the year, according to data from CME Group ...",https://apnews.com/article/market-stock-rates-china-inflation-0ed42442581985f017607ef0044afdd1,47,2024-06-03 18:50:03
Dow Jones Average Returns Last 10 Years,"The Dow Jones Industrial Average (DJI) has returned 139.9% between April 12, 2014 and April 12, 2024.",https://www.statmuse.com/money/ask/dow-jones-average-returns-last-10-years,48,2024-06-03 18:50:03
Stock market today: Live updates,"Oct 19, 2023 — ... 10-year Treasury ... recent data showed progress toward slowing prices. ... year, while imports slid 16.3% compared to the same period last year.",https://www.cnbc.com/2023/10/18/stock-market-today-live-updates.html,49,2024-06-03 18:50:03
DJI Chart — Dow Jones Industrial Average Index - TradingView,View live Dow Jones Industrial Average Index chart to track latest price changes ... But in recent years as the US economy has become ... 10M+. Custom scripts and ...,https://www.tradingview.com/symbols/TVC-DJI/,50,2024-06-03 18:50:03
Dow Jones Industrials Average Interactive Chart,"4 days ago — When looking to focus on end-of-day price data, choose Close. BrickSize (10) - Used with the Traditional Method. The number of points the ...",https://www.barchart.com/stocks/quotes/$DOWI/interactive-chart,51,2024-06-03 18:50:03
Stocks Fall and Bonds Rise Amid Weak Manufacturing,"6 hours ago — “In recent months, investors have cheered weaker-than-estimated data ... The Dow Jones Industrial Average lost 1%. Treasury 10-year yields ...",https://www.swissinfo.ch/eng/stocks-fall-and-bonds-rise-amid-weak-manufacturing%3A-markets-wrap/79478133,52,2024-06-03 18:50:03
Stock Market Blog Articles from LPL Research,Read the hottest topics of the day from the LPL Research thought leaders. From stocks and bonds to the latest data from the government and everything in between ...,https://www.lpl.com/research/blog.html,53,2024-06-03 18:50:03
DIA: SPDR® Dow Jones® Industrial Average℠ ETF Trust,"Fund Performance. Fund Inception Date: Jan 14 1998. Performance. Month End Quarter End. as of Apr 30 2024. As Of, 1 Month, QTD, YTD, 1 Year, 3 Year, 5 Year, 10 ...",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-dow-jones-industrial-average-etf-trust-dia,54,2024-06-03 18:50:03
Inside the 10 Best Days of the Dow,"... the past week. My son and I have for some days been purchasing sound common stocks.” Subsequently, DJIA rose more than 12% that day. The Dow, however, would ...",https://www.dividend.com/dividend-education/inside-the-10-best-days-of-dow/,55,2024-06-03 18:50:03
Everything About Dow Jones Industrial Average,Below is presented last 10 years' chart of the Dow Jones small-cap index. Dow Jones adjusted for inflation index showed interesting return. Dow Jones average ...,https://www.forex.in.rs/dow-10-years-chart/,56,2024-06-03 18:50:03
Dow Jones hits record-high 40000 points,"May 16, 2024 — ... data has since arrived. ... One report showed slightly more workers applied for unemployment benefits last ... The yield on the 10-year Treasury was ...",https://www.pbs.org/newshour/economy/dow-jones-hits-record-high-40000-points,57,2024-06-03 18:50:03
Historical Average Stock Market Returns for S&P 500 (5- ...,"May 15, 2024 — These are the average yearly returns of the US stock market over the last 5, 10, 20, 30, 50, 100, and 150-years. Data is based on the S&P ...",https://tradethatswing.com/average-historical-stock-market-returns-for-sp-500-5-year-up-to-150-year-averages/,58,2024-06-03 18:50:03
"Dow Jones, Nasdaq, S&P 500 weekly preview: May jobs ...","12 hours ago — Dow Jones, Nasdaq, S&P 500 weekly preview: May jobs data ... : “Bad news has been good news for equities over the past ... Our work suggests that ...",https://www.streetinsider.com/General+News/Dow+Jones%2C+Nasdaq%2C+S%26P+500+weekly+preview%3A+May+jobs+data+in+the+limelight/23310082.html,59,2024-06-03 18:50:03
The Dow Jones indices - statistics & facts,"Detailed statistics. Best years in the history of Dow Jones Industrial Average index 1897-2023 ... Year-end value of the Dow Jones Composite Index ... Mon - Fri, 10 ...",https://www.statista.com/topics/1637/the-dow-jones-industrial-average/,60,2024-06-03 18:50:03
Dow Jones Year to Date Performance,"10, PROCTER + GAMBLE CO/THE · PG, 12.28%. 11, MICROSOFT ... last trading day of the previous year. Year-to-date returns as of the market close price on 05/30/2024 ...",https://www.slickcharts.com/dowjones/performance,61,2024-06-03 18:50:03
Wall Street ends slightly higher after soft manufacturing ...,2 hours ago — Benchmark U.S. 10-year note yields fell to a two-week low following the soft manufacturing data. The Dow Jones Industrial Average (.DJI) ...,https://www.reuters.com/markets/us/megacaps-boost-nasdaq-futures-summer-trading-begins-2024-06-03/,62,2024-06-03 18:50:03
United States - Dow Jones Industrial Average - 2024 Data ...,... last updated from the United States Federal Reserve on June of 2024. Feedback. Related. US 10-Year Treasury Yield Retreats Sharply After ISM · S&P and Nasdaq ...,https://tradingeconomics.com/united-states/dow-jones-industrial-average-fed-data.html,63,2024-06-03 18:50:03
Wall Street: no clear trend after ISM data - MarketScreener,"8 hours ago — At the end of the morning, the Dow Jones fell by 0.4% to 38,514.5 points, while the Nasdaq Composite advanced by 0.2% to 16,767.6 points. Just ...",https://www.marketscreener.com/quote/index/DOW-JONES-INDUSTRIAL-4945/news/Wall-Street-no-clear-trend-after-ISM-data-46889540/,64,2024-06-03 18:50:03
Wall Street today: US stocks mixed after weak factory activity ...,"9 hours ago — At 10:14 a.m. ET, the Dow Jones was down ... The yield on the 10-year Treasury fell to 4.41 per cent from 4.50 per ... data, manufacturing reports.",https://www.livemint.com/market/stock-market-news/wall-street-today-us-stocks-gain-led-by-chipmakers-megacaps-11717422713505.html,65,2024-06-03 18:50:03
"Stock Market History Illuminated, 2023 Style","Dec 31, 2023 — I've also color-chunked the data by decade to highlight decades of historical weakness as well as periods of strength. I've also added ...",https://www.albertbridgecapital.com/post/stock-market-history-illuminated-2023-style,66,2024-06-03 18:50:03
"Markets News, Oct. 17, 2023: Indexes Finish Little ...","Oct 17, 2023 — The yield on 10-year Treasurys jumped above 4.8% after data ... last year. U.S. Bancorp has been ... The Dow Jones Industrial Average (DJIA) is a ...",https://www.investopedia.com/dow-jones-today-10172023-8362500,67,2024-06-03 18:50:03
